time,open,high,low,close,volume
1776711600,76423.69,76486.67,76154.49,76296.96,1368.12243
1776715200,76296.97,76558.62,76113.07,76276.17,1418.8575
1776718800,76276.18,76357.2,75784.05,75954.71,523.28232
1776722400,75954.72,76143.71,75904.39,75974.24,220.6417
1776726000,75974.24,75974.24,75617.6,75840.97,301.78476
1776729600,75840.97,76099.19,75700.0,76092.45,428.95831
1776733200,76092.46,76263.4,75866.01,75927.59,391.13593
1776736800,75927.58,75932.7,75580.0,75581.33,536.09341
1776740400,75581.33,75721.12,75474.77,75710.3,256.2515
1776744000,75710.31,75823.49,75600.0,75813.81,259.64273
1776747600,75813.8,75981.1,75782.75,75802.0,321.53858
1776751200,75802.0,76129.95,75703.85,75974.11,408.87339
1776754800,75974.12,76300.0,75814.26,76084.34,1236.72448
1776758400,76084.34,76927.57,76063.98,76507.21,915.23783
1776762000,76507.21,76587.82,76155.0,76362.77,582.67237
1776765600,76362.78,76866.55,76349.59,76746.41,536.34243
1776769200,76746.41,76750.68,76342.0,76452.94,624.94284
1776772800,76452.94,76528.11,75709.03,76009.46,1039.78515
1776776400,76009.46,76179.75,75736.33,75899.98,686.08493
1776780000,75899.98,76595.3,75625.28,75675.05,949.21411
1776783600,75675.04,75979.78,75430.62,75834.65,923.86151
1776787200,75834.66,76190.72,75760.0,75781.18,496.33064
1776790800,75781.19,75912.98,75052.64,75545.62,995.0846
1776794400,75545.62,75668.24,75310.88,75610.21,456.47055
1776798000,75610.21,75919.5,74821.57,75023.43,954.2676
1776801600,75023.43,75859.56,74967.58,75698.51,797.25703
1776805200,75698.51,75777.38,75431.62,75549.99,249.37655
1776808800,75549.99,75650.04,75302.01,75650.04,389.29388
1776812400,75650.03,76425.37,75622.0,76336.15,477.13097
1776816000,76336.14,76500.0,76220.4,76370.45,496.92701
1776819600,76370.46,76416.24,76132.95,76297.99,351.48706
1776823200,76297.99,77645.35,76223.9,77604.71,1622.85639
1776826800,77604.7,77733.11,77397.88,77521.48,956.6528
1776830400,77521.47,77700.0,77364.25,77523.0,547.1578
1776834000,77523.01,78452.18,77450.0,77994.93,2386.48879
1776837600,77994.92,78042.84,77900.0,78010.72,576.88586
1776841200,78010.73,78111.0,77825.0,78012.79,880.5264
1776844800,78012.78,78219.41,77941.59,78010.92,987.44812
1776848400,78010.92,78184.7,77956.76,78001.95,415.39605
1776852000,78001.96,78180.0,77951.17,78157.41,352.72131
